,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
HardlinerAgent,0.8427700450100002,0.33430913326718137,1.1793642403100004,6035.8,40,34,6,0
Agent2,0.8063899525,0.4080182420805145,1.2970692946325002,3246.725,40,37,3,0
TemplateAgent,0.7547310119275001,0.4780010262805252,1.4413602658025,1366.3,40,40,0,0
Group30Agent,0.71099920529,0.3962947743799795,1.3471024417150002,3191.275,40,40,0,0
BoulwareAgent,0.6978987930875,0.4346974384779923,1.40057056246,5053.175,40,40,0,0
Agent3,0.6438725876300001,0.4183065906117707,1.2660457280100001,3965.15,40,36,4,0
LinearAgent,0.6380361465624999,0.422289026209606,1.3754872038900001,1558.025,40,40,0,0
ConcederAgent,0.6098871539975,0.4157098043231776,1.3676506713325,673.75,40,40,0,0
RandomAgent,0.567655207645,0.4002969169567786,1.2519466759549998,2602.15,40,37,3,0
Agent7,0.48604842229250006,0.3065950409363733,1.0604358783449999,2395.5,40,34,6,0
StupidAgent,0.3160884562825,0.2896141756324371,1.1617210019975004,2.4,40,38,2,0
