,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
HardlinerAgent,0.8412694621400002,0.31323486241515064,1.1572658044800002,5775.175,40,34,6,0
Agent2,0.7997296219074999,0.39268813785185713,1.2807637292225005,3255.4,40,37,3,0
TemplateAgent,0.7400885406150001,0.4735798969513775,1.4359385821725001,1300.9,40,40,0,0
Group30Agent,0.7257555472524999,0.3852552133662592,1.3318132502075002,3469.975,40,40,0,0
BoulwareAgent,0.6997499206,0.4168740382780067,1.3759149003850002,4906.475,40,40,0,0
LinearAgent,0.6338100589124999,0.4356820065999167,1.3874204645125001,1211.75,40,40,0,0
Agent3,0.6094638249400001,0.4145420889127919,1.2706448920400002,3962.9,40,36,4,0
ConcederAgent,0.6075164970525001,0.43440183289691126,1.3799593475575003,406.35,40,40,0,0
RandomAgent,0.5939744066925003,0.3932580974363861,1.2341933022350002,2955.425,40,37,3,0
Agent7,0.4700730095850001,0.2791908260332643,1.027734818465,2194.0,40,34,6,0
StupidAgent,0.28640171144750004,0.2655168384828234,1.1340161110125002,2.4,40,38,2,0
