,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
HardlinerAgent,0.8673594382975003,0.34030181039057605,1.2101299872125004,5912.375,40,35,5,0
Agent2,0.8231408768775003,0.40766340376483445,1.3266965036475002,3247.625,40,38,2,0
TemplateAgent,0.7594459869074999,0.4750640254845016,1.4372993678575001,1297.55,40,40,0,0
Group30Agent,0.7142988250524999,0.3809186325514864,1.326786623565,3180.775,40,40,0,0
BoulwareAgent,0.7011325955625001,0.40541164345415714,1.3609392851900002,4541.725,40,40,0,0
Agent3,0.6404778397124999,0.4080918663841344,1.2550769586850001,3791.725,40,36,4,0
LinearAgent,0.6307713822174998,0.4211670469210076,1.3734164035425,1198.45,40,40,0,0
ConcederAgent,0.597038583175,0.4127973244526332,1.3551235870100002,352.25,40,40,0,0
RandomAgent,0.5641981510125,0.40799181193073847,1.256350697975,2789.225,40,37,3,0
Agent7,0.4660514182725001,0.30852777699126754,1.0660260665200005,2176.85,40,34,6,0
StupidAgent,0.28912873054,0.26168067104030224,1.13824217405,2.4,40,38,2,0
