,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
DreamTeam109Agent,0.8038779072899997,0.35984006148106346,1.2058559503700004,2504.05,40,35,5,0
HardlinerAgent,0.7919581058550001,0.29029570343249167,1.0847753136575,4408.4,40,32,8,0
Agent2,0.7276311481225,0.41455829678730566,1.3049917794450003,1937.725,40,37,3,0
TemplateAgent,0.7008448475599999,0.454940919315525,1.4097210288375008,931.25,40,40,0,0
Group30Agent,0.6792841710249999,0.3899765558653249,1.3311527767124998,2416.55,40,40,0,0
BoulwareAgent,0.6671499082974999,0.4032697493654084,1.362678181265,3193.875,40,40,0,0
ConcederAgent,0.617973509275,0.4276901692963224,1.385736059355,516.75,40,40,0,0
Agent3,0.5976745705675002,0.40744916491440863,1.2629030457150001,2999.6,40,36,4,0
RandomAgent,0.544631263665,0.3692309435729032,1.1730643479525003,2302.5,40,35,5,0
Agent7,0.4023004219324998,0.2502706372427187,0.99374973786,1286.4,40,33,7,0
StupidAgent,0.29562889905750006,0.2608312812526882,1.1432812841249997,2.4,40,38,2,0
