,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
HardlinerAgent,0.8195030924275002,0.3027029264755934,1.1239844739950002,4165.875,40,33,7,0
DreamTeam109Agent,0.7573086530474998,0.3476771649597375,1.146474754935,2578.95,40,33,7,0
Agent2,0.750328766095,0.38386526999215653,1.2714909910950003,1978.75,40,37,3,0
TemplateAgent,0.7039888052000001,0.46426952970354646,1.4296732563374999,901.25,40,40,0,0
Group30Agent,0.6685423412224998,0.3762831532123396,1.3191184032225003,2152.775,40,40,0,0
BoulwareAgent,0.634397605095,0.39261497185965866,1.3459616164975001,3150.7,40,40,0,0
ConcederAgent,0.6115535950825001,0.4360232850238249,1.390266365895,410.775,40,40,0,0
Agent3,0.5987253295325001,0.40072002802776996,1.2520047869850004,3072.35,40,36,4,0
RandomAgent,0.5096867376425,0.3462004344755299,1.10792765146,2055.05,40,34,6,0
Agent7,0.43146150116750015,0.29571062964137873,1.0805553899800002,1096.525,40,35,5,0
StupidAgent,0.3244104901674999,0.2821516921986919,1.1523561429575002,2.4,40,38,2,0
